"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"03.01.2021 17:15 - 03.01.2021 17:30","53546","60117"
"03.01.2021 17:30 - 03.01.2021 17:45","53481","59620"
"03.01.2021 17:45 - 03.01.2021 18:00","53242","59262"
"03.01.2021 18:00 - 03.01.2021 18:15","53187","58710"
"03.01.2021 18:15 - 03.01.2021 18:30","52623","58210"
"03.01.2021 18:30 - 03.01.2021 18:45","52325","57605"
"03.01.2021 18:45 - 03.01.2021 19:00","51891","57158"
"03.01.2021 19:00 - 03.01.2021 19:15","51623","56786"
"03.01.2021 19:15 - 03.01.2021 19:30","50754","55972"
"03.01.2021 19:30 - 03.01.2021 19:45","49989","55207"
"03.01.2021 19:45 - 03.01.2021 20:00","49273","54264"
"03.01.2021 20:00 - 03.01.2021 20:15","48995","54353"
"03.01.2021 20:15 - 03.01.2021 20:30","48629","54104"
"03.01.2021 20:30 - 03.01.2021 20:45","48046","53802"
"03.01.2021 20:45 - 03.01.2021 21:00","48370","53621"
"03.01.2021 21:00 - 03.01.2021 21:15","48991","53879"
"03.01.2021 21:15 - 03.01.2021 21:30","48585","53592"
"03.01.2021 21:30 - 03.01.2021 21:45","48016","52717"
"03.01.2021 21:45 - 03.01.2021 22:00","47118","51894"
"03.01.2021 22:00 - 03.01.2021 22:15","46511","51736"
"03.01.2021 22:15 - 03.01.2021 22:30","45796","51012"
"03.01.2021 22:30 - 03.01.2021 22:45","44965","50205"
"03.01.2021 22:45 - 03.01.2021 23:00","44460","49633"
"03.01.2021 23:00 - 03.01.2021 23:15","44784","48895"
"03.01.2021 23:15 - 03.01.2021 23:30","43981","48427"
"03.01.2021 23:30 - 03.01.2021 23:45","43645","47899"
"03.01.2021 23:45 - 04.01.2021 00:00","43168","47511"
"04.01.2021 00:00 - 04.01.2021 00:15","42447","46928"
"04.01.2021 00:15 - 04.01.2021 00:30","41903","46491"
"04.01.2021 00:30 - 04.01.2021 00:45","41738","46486"
"04.01.2021 00:45 - 04.01.2021 01:00","41332","46328"
"04.01.2021 01:00 - 04.01.2021 01:15","41213","46452"
"04.01.2021 01:15 - 04.01.2021 01:30","41157","46394"
"04.01.2021 01:30 - 04.01.2021 01:45","41108","46355"
"04.01.2021 01:45 - 04.01.2021 02:00","40995","46218"
"04.01.2021 02:00 - 04.01.2021 02:15","41016","46148"
"04.01.2021 02:15 - 04.01.2021 02:30","41477","46181"
"04.01.2021 02:30 - 04.01.2021 02:45","41261","46256"
"04.01.2021 02:45 - 04.01.2021 03:00","41597","46412"
"04.01.2021 03:00 - 04.01.2021 03:15","42245","46924"
"04.01.2021 03:15 - 04.01.2021 03:30","42620","47188"
"04.01.2021 03:30 - 04.01.2021 03:45","42932","47699"
"04.01.2021 03:45 - 04.01.2021 04:00","43239","48115"
"04.01.2021 04:00 - 04.01.2021 04:15","43692","48908"
"04.01.2021 04:15 - 04.01.2021 04:30","44305","49499"
"04.01.2021 04:30 - 04.01.2021 04:45","44979","50341"
"04.01.2021 04:45 - 04.01.2021 05:00","45743","51424"
"04.01.2021 05:00 - 04.01.2021 05:15","47311","53394"
"04.01.2021 05:15 - 04.01.2021 05:30","48889","54877"
"04.01.2021 05:30 - 04.01.2021 05:45","49781","56311"
"04.01.2021 05:45 - 04.01.2021 06:00","50679","57961"
"04.01.2021 06:00 - 04.01.2021 06:15","51766","60497"
"04.01.2021 06:15 - 04.01.2021 06:30","52975","61523"
"04.01.2021 06:30 - 04.01.2021 06:45","54282","62423"
"04.01.2021 06:45 - 04.01.2021 07:00","55182","63067"
"04.01.2021 07:00 - 04.01.2021 07:15","56543","64634"
"04.01.2021 07:15 - 04.01.2021 07:30","57440","65261"
"04.01.2021 07:30 - 04.01.2021 07:45","57669","65787"
"04.01.2021 07:45 - 04.01.2021 08:00","58106","66377"
"04.01.2021 08:00 - 04.01.2021 08:15","58533","66735"
"04.01.2021 08:15 - 04.01.2021 08:30","59210","67232"
"04.01.2021 08:30 - 04.01.2021 08:45","59711","67674"
"04.01.2021 08:45 - 04.01.2021 09:00","60048","68118"
"04.01.2021 09:00 - 04.01.2021 09:15","60420","68183"
"04.01.2021 09:15 - 04.01.2021 09:30","60724","68557"
"04.01.2021 09:30 - 04.01.2021 09:45","61370","68862"
"04.01.2021 09:45 - 04.01.2021 10:00","62220","69287"
"04.01.2021 10:00 - 04.01.2021 10:15","62427","69927"
"04.01.2021 10:15 - 04.01.2021 10:30","62930","70524"
"04.01.2021 10:30 - 04.01.2021 10:45","63374","70954"
"04.01.2021 10:45 - 04.01.2021 11:00","63260","71241"
